=== Step 2.1 (make-part) started at Fri Feb 13 16:14:10 EST 2026 ===
RESUME: parts-0 exists. Will only run make-part for missing part files.
Using 16 batches of 28 jobs each, for a total of 448 jobs.
Ratio: 5, Token width: 2
  Skip (already done): part 289185676988-290896934840
  Skip (already done): part 290896834840-292608092692
  Skip (already done): part 292607992692-294319250544
  Skip (already done): part 294319150544-296030408396
  Skip (already done): part 296030308396-297741566248
  Skip (already done): part 297741466248-299452724100
  Skip (already done): part 299452624100-301163881952
  Skip (already done): part 301163781952-302875039804
  Skip (already done): part 302874939804-304586197656
  Skip (already done): part 304586097656-306297355508
  Skip (already done): part 306297255508-308008513360
  Skip (already done): part 308008413360-309719671212
  Skip (already done): part 309719571212-311430829064
  Skip (already done): part 311430729064-313141986916
  Skip (already done): part 313141886916-314853144768
  Skip (already done): part 314853044768-316564302620
  Skip (already done): part 316564202620-318275460472
  Skip (already done): part 318275360472-319986618324
  Skip (already done): part 319986518324-321697776176
  Skip (already done): part 321697676176-323408934028
  Skip (already done): part 323408834028-325120091880
  Skip (already done): part 325119991880-326831249732
  Skip (already done): part 326831149732-328542407584
  Skip (already done): part 328542307584-330253565436
  Skip (already done): part 330253465436-331964723288
  Skip (already done): part 331964623288-333675881140
  Skip (already done): part 333675781140-335387038992
Processing batch 196 to 224...
  Skip (already done): part 335386938992-337098196844
  Skip (already done): part 337098096844-338809354696
  Skip (already done): part 338809254696-340520512548
  Skip (already done): part 340520412548-342231670400
  Skip (already done): part 342231570400-343942828252
  Skip (already done): part 343942728252-345653986104
  Skip (already done): part 345653886104-347365143956
  Skip (already done): part 347365043956-349076301808
  Skip (already done): part 349076201808-350787459660
  Skip (already done): part 350787359660-352498617512
  Skip (already done): part 352498517512-354209775364
  Skip (already done): part 354209675364-355920933216
  Skip (already done): part 355920833216-357632091068
  Skip (already done): part 357631991068-359343248920
  Skip (already done): part 359343148920-361054406772
  Skip (already done): part 361054306772-362765564624
  Skip (already done): part 362765464624-364476722476
  Skip (already done): part 364476622476-366187880328
  Skip (already done): part 366187780328-367899038180
  Skip (already done): part 367898938180-369610196032
  Skip (already done): part 369610096032-371321353884
  Skip (already done): part 371321253884-373032511736
  Skip (already done): part 373032411736-374743669588
  Skip (already done): part 374743569588-376454827440
  Skip (already done): part 376454727440-378165985292
  Skip (already done): part 378165885292-379877143144
  Skip (already done): part 379877043144-381588300996
  Skip (already done): part 381588200996-383299458848
Processing batch 224 to 252...
  Skip (already done): part 383299358848-385010616700
  Skip (already done): part 385010516700-386721774552
  Skip (already done): part 386721674552-388432932404
  Skip (already done): part 388432832404-390144090256
  Skip (already done): part 390143990256-391855248108
  Skip (already done): part 391855148108-393566405960
  Skip (already done): part 393566305960-395277563812
  Skip (already done): part 395277463812-396988721664
  Skip (already done): part 396988621664-398699879516
  Skip (already done): part 398699779516-400411037368
  Skip (already done): part 400410937368-402122195220
  Skip (already done): part 402122095220-403833353072
  Skip (already done): part 403833253072-405544510924
  Skip (already done): part 405544410924-407255668776
  Skip (already done): part 407255568776-408966826628
  Skip (already done): part 408966726628-410677984480
  Skip (already done): part 410677884480-412389142332
  Skip (already done): part 412389042332-414100300184
  Skip (already done): part 414100200184-415811458036
  Skip (already done): part 415811358036-417522615888
  Skip (already done): part 417522515888-419233773740
  Skip (already done): part 419233673740-420944931592
  Skip (already done): part 420944831592-422656089444
  Skip (already done): part 422655989444-424367247296
  Skip (already done): part 424367147296-426078405148
  Skip (already done): part 426078305148-427789563000
  Skip (already done): part 427789463000-429500720852
  Skip (already done): part 429500620852-431211878704
Processing batch 252 to 280...
  Skip (already done): part 431211778704-432923036556
  Skip (already done): part 432922936556-434634194408
  Skip (already done): part 434634094408-436345352260
  Skip (already done): part 436345252260-438056510112
  Skip (already done): part 438056410112-439767667964
  Skip (already done): part 439767567964-441478825816
  Skip (already done): part 441478725816-443189983668
  Skip (already done): part 443189883668-444901141520
  Skip (already done): part 444901041520-446612299372
  Skip (already done): part 446612199372-448323457224
  Skip (already done): part 448323357224-450034615076
  Skip (already done): part 450034515076-451745772928
  Skip (already done): part 451745672928-453456930780
  Skip (already done): part 453456830780-455168088632
  Skip (already done): part 455167988632-456879246484
  Skip (already done): part 456879146484-458590404336
  Skip (already done): part 458590304336-460301562188
  Skip (already done): part 460301462188-462012720040
  Skip (already done): part 462012620040-463723877892
  Skip (already done): part 463723777892-465435035744
  Skip (already done): part 465434935744-467146193596
  Skip (already done): part 467146093596-468857351448
  Skip (already done): part 468857251448-470568509300
  Skip (already done): part 470568409300-472279667152
  Skip (already done): part 472279567152-473990825004
  Skip (already done): part 473990725004-475701982856
  Skip (already done): part 475701882856-477413140708
  Skip (already done): part 477413040708-479124298560
Processing batch 280 to 308...
  Skip (already done): part 479124198560-480835456412
  Skip (already done): part 480835356412-482546614264
  Skip (already done): part 482546514264-484257772116
  Skip (already done): part 484257672116-485968929968
  Skip (already done): part 485968829968-487680087820
  Skip (already done): part 487679987820-489391245672
  Skip (already done): part 489391145672-491102403524
  Skip (already done): part 491102303524-492813561376
  Skip (already done): part 492813461376-494524719228
  Skip (already done): part 494524619228-496235877080
  Skip (already done): part 496235777080-497947034932
  Skip (already done): part 497946934932-499658192784
  Skip (already done): part 499658092784-501369350636
  Skip (already done): part 501369250636-503080508488
  Skip (already done): part 503080408488-504791666340
  Skip (already done): part 504791566340-506502824192
  Skip (already done): part 506502724192-508213982044
  Skip (already done): part 508213882044-509925139896
  Skip (already done): part 509925039896-511636297748
  Skip (already done): part 511636197748-513347455600
  Skip (already done): part 513347355600-515058613452
  Skip (already done): part 515058513452-516769771304
  Skip (already done): part 516769671304-518480929156
  Skip (already done): part 518480829156-520192087008
  Skip (already done): part 520191987008-521903244860
  Skip (already done): part 521903144860-523614402712
  Skip (already done): part 523614302712-525325560564
  Skip (already done): part 525325460564-527036718416
Processing batch 308 to 336...
  Skip (already done): part 527036618416-528747876268
  Skip (already done): part 528747776268-530459034120
  Skip (already done): part 530458934120-532170191972
  Skip (already done): part 532170091972-533881349824
  Skip (already done): part 533881249824-535592507676
  Skip (already done): part 535592407676-537303665528
  Skip (already done): part 537303565528-539014823380
  Skip (already done): part 539014723380-540725981232
  Skip (already done): part 540725881232-542437139084
  Skip (already done): part 542437039084-544148296936
  Skip (already done): part 544148196936-545859454788
  Skip (already done): part 545859354788-547570612640
  Skip (already done): part 547570512640-549281770492
  Skip (already done): part 549281670492-550992928344
  Skip (already done): part 550992828344-552704086196
  Skip (already done): part 552703986196-554415244048
  Skip (already done): part 554415144048-556126401900
  Skip (already done): part 556126301900-557837559752
  Skip (already done): part 557837459752-559548717604
  Skip (already done): part 559548617604-561259875456
  Skip (already done): part 561259775456-562971033308
  Skip (already done): part 562970933308-564682191160
  Skip (already done): part 564682091160-566393349012
  Skip (already done): part 566393249012-568104506864
  Skip (already done): part 568104406864-569815664716
  Skip (already done): part 569815564716-571526822568
  Skip (already done): part 571526722568-573237980420
  Skip (already done): part 573237880420-574949138272
Processing batch 336 to 364...
  Skip (already done): part 574949038272-576660296124
  Skip (already done): part 576660196124-578371453976
  Skip (already done): part 578371353976-580082611828
  Skip (already done): part 580082511828-581793769680
  Skip (already done): part 581793669680-583504927532
  Skip (already done): part 583504827532-585216085384
  Skip (already done): part 585215985384-586927243236
  Skip (already done): part 586927143236-588638401088
  Skip (already done): part 588638301088-590349558940
  Skip (already done): part 590349458940-592060716792
  Skip (already done): part 592060616792-593771874644
  Skip (already done): part 593771774644-595483032496
  Skip (already done): part 595482932496-597194190348
  Skip (already done): part 597194090348-598905348200
  Skip (already done): part 598905248200-600616506052
  Skip (already done): part 600616406052-602327663904
  Skip (already done): part 602327563904-604038821756
  Skip (already done): part 604038721756-605749979608
  Skip (already done): part 605749879608-607461137460
  Skip (already done): part 607461037460-609172295312
  Skip (already done): part 609172195312-610883453164
  Skip (already done): part 610883353164-612594611016
  Skip (already done): part 612594511016-614305768868
  Skip (already done): part 614305668868-616016926720
  Skip (already done): part 616016826720-617728084572
  Skip (already done): part 617727984572-619439242424
  Skip (already done): part 619439142424-621150400276
  Skip (already done): part 621150300276-622861558128
Processing batch 364 to 392...
  Skip (already done): part 622861458128-624572715980
  Skip (already done): part 624572615980-626283873832
  Skip (already done): part 626283773832-627995031684
  Skip (already done): part 627994931684-629706189536
  Skip (already done): part 629706089536-631417347388
  Skip (already done): part 631417247388-633128505240
  Skip (already done): part 633128405240-634839663092
  Skip (already done): part 634839563092-636550820944
  Skip (already done): part 636550720944-638261978796
  Skip (already done): part 638261878796-639973136648
  Skip (already done): part 639973036648-641684294500
  Skip (already done): part 641684194500-643395452352
  Skip (already done): part 643395352352-645106610204
  Skip (already done): part 645106510204-646817768056
  Skip (already done): part 646817668056-648528925908
  Skip (already done): part 648528825908-650240083760
  Skip (already done): part 650239983760-651951241612
  Skip (already done): part 651951141612-653662399464
  Skip (already done): part 653662299464-655373557316
  Skip (already done): part 655373457316-657084715168
  Skip (already done): part 657084615168-658795873020
  Skip (already done): part 658795773020-660507030872
  Skip (already done): part 660506930872-662218188724
  Skip (already done): part 662218088724-663929346576
  Skip (already done): part 663929246576-665640504428
  Skip (already done): part 665640404428-667351662280
  Skip (already done): part 667351562280-669062820132
  Skip (already done): part 669062720132-670773977984
Processing batch 392 to 420...
  Skip (already done): part 670773877984-672485135836
  Skip (already done): part 672485035836-674196293688
  Skip (already done): part 674196193688-675907451540
  Skip (already done): part 675907351540-677618609392
  Skip (already done): part 677618509392-679329767244
  Skip (already done): part 679329667244-681040925096
  Skip (already done): part 681040825096-682752082948
  Skip (already done): part 682751982948-684463240800
  Skip (already done): part 684463140800-686174398652
  Skip (already done): part 686174298652-687885556504
  Skip (already done): part 687885456504-689596714356
  Skip (already done): part 689596614356-691307872208
  Skip (already done): part 691307772208-693019030060
  Skip (already done): part 693018930060-694730187912
  Skip (already done): part 694730087912-696441345764
  Skip (already done): part 696441245764-698152503616
  Skip (already done): part 698152403616-699863661468
  Skip (already done): part 699863561468-701574819320
  Skip (already done): part 701574719320-703285977172
  Skip (already done): part 703285877172-704997135024
  Skip (already done): part 704997035024-706708292876
  Skip (already done): part 706708192876-708419450728
  Skip (already done): part 708419350728-710130608580
  Skip (already done): part 710130508580-711841766432
  Skip (already done): part 711841666432-713552924284
  Skip (already done): part 713552824284-715264082136
  Skip (already done): part 715263982136-716975239988
  Skip (already done): part 716975139988-718686397840
Processing batch 420 to 448...
  Skip (already done): part 718686297840-720397555692
  Skip (already done): part 720397455692-722108713544
  Skip (already done): part 722108613544-723819871396
  Skip (already done): part 723819771396-725531029248
  Skip (already done): part 725530929248-727242187100
  Skip (already done): part 727242087100-728953344952
  Skip (already done): part 728953244952-730664502804
  Skip (already done): part 730664402804-732375660656
  Skip (already done): part 732375560656-734086818508
  Skip (already done): part 734086718508-735797976360
  Skip (already done): part 735797876360-737509134212
  Skip (already done): part 737509034212-739220292064
  Skip (already done): part 739220192064-740931449916
  Skip (already done): part 740931349916-742642607768
  Skip (already done): part 742642507768-744353765620
  Skip (already done): part 744353665620-746064923472
  Skip (already done): part 746064823472-747776081324
  Skip (already done): part 747775981324-749487239176
  Skip (already done): part 749487139176-751198397028
  Skip (already done): part 751198297028-752909554880
  Skip (already done): part 752909454880-754620712732
  Skip (already done): part 754620612732-756331870584
  Skip (already done): part 756331770584-758043028436
  Skip (already done): part 758042928436-759754186288
  Skip (already done): part 759754086288-761465344140
  Skip (already done): part 761465244140-763176501992
  Skip (already done): part 763176401992-764887659844
  Skip (already done): part 764887559844-766598717304
Done: 0 parts built, 448 skipped (already present).
=== Step 2.1 (make-part) finished at Fri Feb 13 16:14:12 EST 2026 ===
=== Elapsed time: 0 days 00:00:02 (total 2 seconds)

=== Parts done: 456/448. Re-submit this job to continue from checkpoint. ===
=== When all parts are done, run run_indexing_step2_2_merge.sh ===
