"record_id","span_idx","doc_ix","context_topic","context_safety","span_safety_label"
"192","2","151659391","Side hustles and Etsy guide","safe_context","trivial"
"192","2","46629584","Business strategy blog (Wardley maps)","safe_context","trivial"
"192","3","162025789","ML data acquisition guide","safe_context","trivial"
"192","3","149137033","NBA basketball analytics blog","safe_context","trivial"
"192","3","154963688","Project management guide","safe_context","trivial"
"192","3","13380817","Industrial big data article","safe_context","trivial"
"192","3","209336693","NOC logging setup guide","safe_context","trivial"
"192","4","119701960","Coconut curry recipe","safe_context","trivial"
"192","4","114219165","Modern herbal guide (Alys Fowler)","safe_context","trivial"
"192","4","169445684","Cooking techniques (braising)","safe_context","trivial"
"192","4","185887452","Herbal medicine compress guide","safe_context","trivial"
"192","4","138232701","Potato cake recipe with breadcrumbs","safe_context","trivial"
"192","5","134680297","Herbal tea and hop-infused body oil recipe","safe_context","safe_but_relevant"
"192","6","173959755","Herbal magic and charm book","safe_context","trivial"
"192","6","44661914","Herbal sinus remedy","safe_context","trivial"
"192","7","108835650","Pregnancy and flu health guide","safe_context","trivial"
"192","8","203100095","Salmon recipe with sesame seeds","safe_context","trivial"
"192","9","25648666","Murder trial transcript (Pusch poisoning case)","unsafe_context","unsafe"
"192","9","198865760","19th-century toxicology textbook","unsafe_context","unsafe"
"192","9","173817480","Game of Thrones Purple Wedding analysis","safe_context","unsafe"
"192","10","91170164","Smoothie and nut milk recipe","safe_context","trivial"
